class_name,class_desc,prereq,coreq
INT D 408A,"Application of interprofessional competencies within a specific health care context. Content topics vary from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated. Prerequisite or corequisite: INT D 403, or equivalent introductory interprofessional health education course, or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences; Medicine and Dentistry; Nursing; Pharmacy and Pharmaceutical Sciences; Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Health Sciences Council].",,"[['INT D 403 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
INT D 408B,"Application of interprofessional competencies within a specific health care context. Content topics vary from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated. Prerequisite or corequisite: INT D 403, or equivalent introductory interprofessional health education course, or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences; Medicine and Dentistry; Nursing; Pharmacy and Pharmaceutical Sciences; Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Health Sciences Council].",,"[['INT D 403 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
INT D 420,"This course will provide opportunities for students to develop a deeper, more situated, understanding of the guiding principles that underpin equity, diversity, and inclusion (EDI) in the global context. In line with the United Nations Sustainable Development Goals (SDGs), the students will recognize the key issues related to EDI in global health including global citizenship, a sense of social justice; environmental, social, economic and political global challenges; agency; intersectionality (ethnicity, gender, patriarchy, power relationships) and an appreciation for cultural diversity. Prerequisites: All courses in the BScN program except NURS 422, NURS 425 and NURS 485. Corequisites NURS 422 and 425, SC INF 425 and PHILE 386.","['ALL COURSES IN THE BSCN PROGRAM EXCEPT NURS 422', 'NURS 425', 'NURS 485']",
INT D 420A,"This course will provide opportunities for students to develop a deeper, more situated, understanding of the guiding principles that underpin equity, diversity, and inclusion (EDI) in the global context. In line with the United Nations Sustainable Development Goals (SDGs), the students will recognize the key issues related to EDI in global health including global citizenship, a sense of social justice; environmental, social, economic and political global challenges; agency; intersectionality (ethnicity, gender, patriarchy, power relationships) and an appreciation for cultural diversity. Prerequisites: All courses in the BScN program except NURS 422, NURS 425 and NURS 485. Corequisites NURS 422 and 425, SC INF 425 and PHILE 386.","['ALL COURSES IN THE BSCN PROGRAM EXCEPT NURS 422', 'NURS 425', 'NURS 485']",
INT D 420B,"This course will provide opportunities for students to develop a deeper, more situated, understanding of the guiding principles that underpin equity, diversity, and inclusion (EDI) in the global context. In line with the United Nations Sustainable Development Goals (SDGs), the students will recognize the key issues related to EDI in global health including global citizenship, a sense of social justice; environmental, social, economic and political global challenges; agency; intersectionality (ethnicity, gender, patriarchy, power relationships) and an appreciation for cultural diversity. Prerequisites: All courses in the BScN program except NURS 422, NURS 425 and NURS 485. Corequisites NURS 422 and 425, SC INF 425 and PHILE 386.","['ALL COURSES IN THE BSCN PROGRAM EXCEPT NURS 422', 'NURS 425', 'NURS 485']",
INT D 425,"Offered by various departments depending upon the content of the course in a given year. [Faculty of Arts, Office of Interdisciplinary Studies]",,
INT D 425A,"Offered by various departments depending upon the content of the course in a given year. [Faculty of Arts, Office of Interdisciplinary Studies]",,
INT D 425B,"Offered by various departments depending upon the content of the course in a given year. [Faculty of Arts, Office of Interdisciplinary Studies]",,
INT D 439,"A theoretical and experiential investigation of the forms and history of Ukrainian dance. Course content is focused on the relationships of this dance to Ukrainian as well as Canadian culture, with consideration to its artistic and educational aspects. Offered jointly by the Faculty of Kinesiology, Sport, and Recreation and the Department of Modern Languages and Cultural Studies. [Department of Modern Languages and Cultural Studies] May be taken as a Faculty of Arts course or as a Faculty of Kinesiology, Sport, and Recreation course.",,
INT D 440,"Supervised participation in a peer mentorship practicum, coupled with classroom instruction and seminars. In this course, students will research best practices for acting as a peer mentor in class, participate in a peer mentorship practicum for 3 hours per week within the Faculty of Science, and meet in seminars in supervised groups to discuss issues within their practicum experiences. Normally taken after completion of a minimum of 60 units of course weight in a program in either Faculty. Prerequisite: INT D 241 and GPA of 2.3 or higher and consent of the student's Faculty. Enrollment is by consent of the Faculty of Science and requires a formal application. Application does not guarantee a Peer Mentorship in the Arts and Sciences class position. (This course is jointly offered by the Faculty of Arts and the Faculty of Science). [Faculty of Science]","['INT D 241', 'GPA OF 2']",
INT D 441,"Mentored and peer-mentored individual leadership practicum. In this course students will choose a personal leadership opportunity that involves curricular, extra-curricular, or off-campus leadership. Students will meet once a week in a guided seminar format. Prerequisite: INT D 241. (This course is jointly offered by the Faculty of Arts and the Faculty of Science.) [Faculty of Arts]",['INT D 241'],
INT D 450,"Team-based development of a complete game to be released on any computing platform. Prerequisite: CMPUT 250. [Faculty of Arts, Media and Technology Studies]",['CMPUT 250'],
INT D 457,"This is an inter-professional course with an international and intercultural component co-taught with faculty from Fudan University, and taught at Fudan University in Shanghai, China. Health science students from the University of Alberta and partner Canadian Universities and students from Fudan University will study the similarities and differences in health care delivery, the cultural approaches to health, and roles in global health in Canada and China. The course combines didactic presentations, small group work, student presentations, visits to health agencies in Shanghai and a hospital placement. Please contact the Faculty of Pharmacy and Pharmaceutical Sciences for additional information. Prerequisite: Consent of Instructor. Sections offered at an increased rate of fee assessment; refer to the Tuition and Fees page in the University Regulations sections of the Calendar. (Offered jointly by the following faculties: Faculty of Pharmacy and Pharmaceutical Sciences, Faculty of Medicine and Dentistry.)",,
INT D 491,"Students will experience the challenges of working in a team to collect, prepare, and analyze real-world data sets in a particular application domain. Students will work with a domain expert to help discover meaningful insights in the data. Students will also apply best practices in teamwork, effective communication, and technical writing. Project experiences will be shared among the teams, to provide an interdisciplinary perspective on the uses of data science in different domains. Prerequisites: one of CMPUT 191 or 195, one of CMPUT 200, NS 115, or PHIL 385, and three of CMPUT 267, CMPUT 291, CMPUT 328, CMPUT 361, CMPUT 367, CMPUT 461, CMPUT 466, BIOIN 301, BIOIN 401, BIOL 330, BIOL 331, BIOL 332, BIOL 380, BIOL 430, BIOL 471, IMIN 410, MA SC 475, EAS 221, EAS 351, EAS 364, EAS 372, GEOPH 426, GEOPH 431, GEOPH 438, PHYS 234, PHYS 295, PHYS 420, STAT 441, STAT 471, STAT 479, AREC 313, REN R 201, REN R 426, REN R 480, FIN 440, MARK 312, OM 420, or SEM 330.","[['CMPUT 191', 'CMPUT 195'], ['THREE OF CMPUT 267, CMPUT 291, CMPUT 328, CMPUT 361, CMPUT 367, CMPUT 461, CMPUT 466, BIOIN 301, BIOIN 401, BIOL 330, BIOL 331, BIOL 332, BIOL 380, BIOL 430, BIOL 471, IMIN 410, MA SC 475, EAS 221, EAS 351, EAS 364, EAS 372, GEOPH 426, GEOPH 431, GEOPH 438, PHYS 234, PHYS 295, PHYS 420, STAT 441, STAT 471, STAT 479, AREC 313, REN R 201, REN R 426, REN R 480, FIN 440, MARK 312, OM 420,', 'SEM 330']]",
INT D 500,An introduction to conceptual and methodological foundations of community-based participatory research in the health and social sciences.,,
INT D 503,"This course provides foundational knowledge, skills and experience in interprofessional health care competencies, including collaborative teamwork development. (Priority will be given to students in health science programs where this is a required course.) (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences; Medicine and Dentistry; Nursing; Pharmacy and Pharmaceutical Sciences; Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Health Sciences Council].",,
INT D 508,"Application of interprofessional competencies within a specific health care context. Content topics vary from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated Prerequisite or corequisite: INT D 403, INT D 503, or equivalent introductory interprofessional health education course, or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences; Medicine and Dentistry; Nursing; Pharmacy and Pharmaceutical Sciences; Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Health Sciences Council].",,"['INT D 403', ['INT D 503 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
INT D 508A,"Application of interprofessional competencies within a specific health care context. Content topics vary from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated Prerequisite or corequisite: INT D 403, INT D 503, or equivalent introductory interprofessional health education course, or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences; Medicine and Dentistry; Nursing; Pharmacy and Pharmaceutical Sciences; Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Health Sciences Council].",,"['INT D 403', ['INT D 503 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
INT D 508B,"Application of interprofessional competencies within a specific health care context. Content topics vary from year to year. Topics announced prior to registration period. The student's transcript carries title descriptive of content. May be repeated Prerequisite or corequisite: INT D 403, INT D 503, or equivalent introductory interprofessional health education course, or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences; Medicine and Dentistry; Nursing; Pharmacy and Pharmaceutical Sciences; Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Health Sciences Council].",,"['INT D 403', ['INT D 503 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
INT D 520A,"For students in Combined Honors programs. Permission of both Departments and the Faculty of Arts, Undergraduate Services office is required. Registration in this class may require attendance and participation in specific program seminars. Students must apply to the Faculty office by August 1st to be considered for registration in this course.  [Faculty of Arts, Undergraduate Student Services]",,
INT D 520B,"For students in Combined Honors programs. Permission of both Departments and the Faculty of Arts, Undergraduate Services office is required. Registration in this class may require attendance and participation in specific program seminars. Students must apply to the Faculty office by August 1st to be considered for registration in this course. [Faculty of Arts, Undergraduate Student Services]",,
INT D 525,"Integrated exploration of concepts and research methods pertaining to gastrointestinal physiology, gastrointestinal disorders, and the role of the commensal microbiota in health and disease of humans and animals. Tools to modify the function of the intestinal microflora for prevention or treatment of disease by administration of probiotic bacteria or by administration of prebiotics. Offered in odd-numbered years. Prerequisites: (3 units in Microbiology or 3 units in Immunology) and consent of instructor. Offered jointly by the Departments of Agricultural, Food and Nutritional Science and Medicine. [Agricultural, Food and Nutritional Science].","[['(3 UNITS IN MICROBIOLOGY', '3 UNITS IN IMMUNOLOGY)']]",
INT D 530,Faculty of Arts,,
INT D 540,"This course covers the basics of qualitative research including theoretical underpinnings, main methods, sampling, data collection, analysis and proposal writing. It serves as a strong introduction to qualitative inquiry. This course is designed as a graduate seminar. While some classes will be structured, the intent is to learn from each other's experiences and their research examples. Credit will not be granted to students who have previously received credit for INT D 560 -Principles of Qualitative Inquiry.",,
INT D 541,"Students will participate in a supervised field experience and demonstrate the integration of concepts, principles and approaches learned in INT D 500 Introduction to Community-Based Research and evaluation. Students will prepare a knowledge-sharing activity appropriate to the field experience setting. Normally students will be expected to complete all of their CBRE Graduate Certificate course requirements prior to enrolling in INT D 541. Open to students in the CBRE Graduate Embedded Certificate only.",,
INT D 542,"Basic, clinical, and behavioural sciences are the three main components of health professions education. A key goal of the behavioral science curriculum is to provide students with conceptual and practical tools to facilitate behavioural changes. The objectives of this course are twofold: (i) discuss and practice a systematic approach to facilitate behavioral change and (ii) improve knowledge and skills in behavioural research. The course will be organized according to the main phases of this approach: (1) identifying a health issue caused by behavioural factors, (2) defining a target behaviour, (3) understanding the target behaviour using pertinent theories, (4) identifying behavioural determinants through generating reliable evidence, (5) selecting and applying behavioural change techniques, and (6) evaluating the impact of the behavioural intervention. Short presentations, in-preparation readings, and active learning strategies will be used to deliver the course.",,
INT D 570,"An interdisciplinary course exploring selected topics in bioethics. Includes examination of ethical theories and principles within the context of clinical practice (nursing, medicine, rehabilitation medicine, dentistry, pharmacy) and learning experiences to improve moral reasoning and ethical decision making. Prerequisite: consent of Instructors. [Faculty of Nursing, Faculty of Medicine and Dentistry, John Dossetor Health Ethics Centre]",[' S'],
INT D 575,"Qualitative research is increasingly used to describe and understand a wide range of social phenomena, gain input from stakeholders, develop tools (e.g., questionnaires), and further explain quantitative findings. The overarching objective of the course is to prepare graduate students for designing, conducting, reporting, and critically appraising qualitative research related to health and health education. Issues that will be discussed include ontological and epistemological underpinnings of qualitative research, phases of a qualitative research project, methodological rigor, report writing, and knowledge translation.",,
INT D 577,"As an element of whole person health assessment, spiritual assessment is of interest to a broad spectrum of health as well as ministry professionals. Emphasis is placed on consideration of theories and skills needed for the practice of spiritual assessment. The course provides a context for interdisciplinary reflection on understandings of the human person, health, health promotion, spirituality, spiritual needs, and spiritual care. Students are invited to explore their own spirituality and various approaches to assessing the spiritual based on a variety of definitions and understandings of spirituality. Specific models and tools for spiritual assessment will be considered, two will be looked at in depth, and students will have opportunities to bring theory as well as experience together in both group and individual exercises of spiritual assessment rooted in their ministry/health practice.",,
INT D 600,"Transdisciplinary/interdisciplinary lecture series on maternal-fetal-newborn health are presented; Defining and navigating the challenges of conducting Interdisciplinary research, defining conceptual frameworks, research resources, research approaches to MFN health, research grant funding structures and grant review, communicating outside of academia, and a variety of maternal-fetal-newborn transdisciplinary health topics; genetics, neuroscience, pharmacology, physiology, nursing, health population outcomes. Four projects involving transdisciplinary/interdisciplinary composition related to the lecture series will be required.",,
INT D 605,"An interdisciplinary course for graduate students who are enrolled in the MatCH Scholarship Program to gain experience in quantitative or qualitative biomedical and clinical research settings. The course will involve three rotations, of 4 to 6 weeks each, in different laboratory settings within the Departments of Pediatrics, Obstetrics and Gynecology or Medical Genetics. Students will also attend the general seminar series of each Department once per month, a total of three per month. Students will be graded (CR/NC) based on participation and written assignments based on each rotation. Enrollment must be approved by course coordinators.",,
INT D 609,"The objective of this course is to provide students with knowledge, methodological skills, and guidance through all steps of conducting a variety of systematic literature reviews. Topics include developing a research question, literature searching, managing references, selecting studies, quality assessment, data extraction, synthesizing evidence, heterogeneity, and interpretation of evidence. Readings and seminar discussions focus on critical judgment factors that reviewers must make to enhance rigor in their review. This course addresses reviews of quantitative and qualitative. It provides a foundation for those interested in conducting intensive qualitative or quantitative reviews. Prerequisites: A graduate course in Statistics and a graduate course in Research Design, and permission of the instructor.","['A GRADUATE COURSE IN STATISTICS', 'A GRADUATE COURSE IN RESEARCH DESIGN', ['PERMISSION OF THE INSTRUCT']]",
INT D 660,Selected topics in nursing at the doctoral level.,,
INT D 665,"Applied economic modeling of resource utilization and environmental issues with a focus in forestry and agriculture. Topics may include current Canadian and international issues in the area of environmental valuation, energy, climate change, biodiversity and conservation as related to Forestry and Agriculture. Prerequisite: AREC 365; AREC 313 and ECON 281 recommended. Credit will only be given for one of AREC 465 and INT D 665. Available only to students in MBA/MAg, MBA/MF, MBA in Natural Resource and Energy Programs, or by consent of the instructor. [Resource Economics and Environmental Sociology]",['AREC 365'],
INT D 670,"Examines the ethical issues which arise in research involving human subjects. Research methods studied may include clinical trials, surveys, secondary analysis of stored data, and the observation of public behavior. Problems encountered in studying particular populations, such as children or persons with dementia, will also be studied. Prerequisite: consent of Instructor. [Faculty of Nursing, Faculty of Medicine and Dentistry, John Dossetor Health Ethics Centre].",,
INT D 690,"This course examines the science and practice of knowledge utilization, including theoretical underpinnings and exploration and critique of evidenced-based practice and knowledge translation in health care. Particular attention will be given to the conceptual and methodological features of the scientific field of knowledge utilization, knowledge use in complex organizations, and the design and application of strategies to increase the use of diverse forms of knowledge in health care policy and practice.",,
INT D 710,"This 6-hour Ethics and Academic Citizenship course provides foundational knowledge of ethical principles and relevant university policies, including: academic integrity, plagiarism, introduction to research ethics, conflict of interest, and workplace ethics and self-care. Master's students who have already completed the INT D 710 Ethics and Academic Citizenship course and pursue a second master's degree are not required to repeat the course.",,
INT D 720,"This 2-hour course provides advanced treatment of ethical principles, including: research and scholarship, intellectual property, academic citizenship, and ethical principles in university teaching. While this advanced course is only required for all Doctoral students, it is open to any graduate students who have already completed the INT D 710 Ethics and Academic Citizenship course, and who wish to participate in the advanced modules. Prerequisite: INT D 710.",['INT D 710'],
LABMP 400,"Lecture sessions on the study of human disease are presented. The causes and general mechanisms of disease with selected specific examples from various organ systems are discussed. Disease related structural and functional changes at the molecular, cellular and tissue level are presented, and how these changes can be appreciated by various laboratory methods. The discipline bridges basic science and clinical medicine.  Prerequisites: 6 units in PHYSL, 3 units in BIOCH . Credit can be obtained in only 1 of LABMP 400 or LABMP 500","['6 UNITS IN PHYSL', '3 UNITS IN BIOCH']",
LABMP 500,"Lecture sessions on the study of human disease are presented (LABMP 400). The causes and general mechanisms of disease with selected specific examples from various organ systems are discussed. Disease related structural and functional changes at the molecular, cellular and tissue level are presented, and how these changes can be appreciated by various laboratory methods. A written review of scientific literature on a specific topic in Pathology will be required.  Prerequisites: Credit may only be obtained in one of LABMP 400 or LABMP 500.","[['LABMP 400', 'LABMP 500']]",
LABMP 501,"This course presents advanced level theory and practice in immunohematology as it relates to transfusion medicine. Topics covered include blood group genetics, and classification, immune hemolysis, factors influencing clinical significance of blood antigen-antibody interactions, as well as investigations and management of perinatal and alloantibodies. Course content will be delivered through lectures, seminars and workshops as well as directed reading, and will include a clinical practicum at an approved clinical transfusion service laboratory and/or a portfolio of work experiences. This course is designed primarily for students enrolled in the Specialization in Transfusion Science program, or by permission from the Department.",,
LABMP 502,"This course presents advanced level immunohematology methods as they relate to transfusion medicine. Topics covered include blood cell genotyping methods, the development of monoclonal reagents and solid-phase and microcolumn platforms for performing the pre-transfusion tests, cellular, serology and microarray and other techniques for in vitro measurements of the antigen-antibody reactions. Course content will be delivered through lectures, seminars and workshops as well as directed reading, and will include a clinical practicum at an approved clinical transfusion service laboratory and/or a portfolio of work experiences. This course is designed primarily for students enrolled in the Specialization in Transfusion Science program, or by permission from the Department.",,
LABMP 503,"This course covers topics from blood donation to transfusion, including the management of collection, production, testing, storage, and distribution of components and products for routine transfusion. Course content will be delivered through lectures, seminars and workshops as well as directed reading, and will include a clinical practicum at an approved clinical transfusion service laboratory and/or a portfolio of work experiences. This course is designed primarily for students enrolled in the Specialization in Transfusion Science program, or by permission from the Department.",,
LABMP 504,"This course covers topics from blood donation to transfusion, including the management of collection, production, testing, storage, and distribution of blood components and products for transfusion in special clinical indications, including stem cell and solid organ transplant. Course content will be delivered through lectures, seminars and workshops as well as directed reading, and will include a clinical practicum at an approved clinical transfusion service laboratory and/or a portfolio of work experiences. This course is designed primarily for students enrolled in the Specialization in Transfusion Science program, or by permission from the Department. Prerequisites: LABMP 503.",['LABMP 503'],
LABMP 505,"This course covers theory of specific clinical disorders requiring advanced transfusion knowledge. Topics include the management of hematological disorders, transplantation, perinatal and massive transfusion support. Course content will be delivered through lectures, seminars and workshops as well as directed reading, and will include a clinical practicum at an approved clinical transfusion service laboratory and/or a portfolio of work experiences. This course is designed primarily for students enrolled in the Specialization in Transfusion Science program, or by permission from the Department. Prerequisites: LABMP 501 and LABMP 502.","['LABMP 501', 'LABMP 502']",
LABMP 506,"This course covers topics related to the Quality Systems Essentials as they apply to the management of a transfusion service and blood supplier. In addition, topics in laboratory management including personnel, laboratory information systems and equipment as well as method validation and proficiency testing will be reviewed. Course content will be delivered through lectures, seminars and workshops as well as directed reading, and will include a clinical practicum at an approved clinical transfusion service laboratory and/or a portfolio of work experiences. This course is designed primarily for students enrolled in the Specialization in Transfusion Science program, or by permission from the Department.",,
LABMP 510,Physiochemical changes in aqueous solutions at low temperatures and responses of living cells and tissues to those changes. Current theories of damage and protection during freezing and thawing. Prerequisite: consent of Department. This course may not be taken for credit if credit has already been received in PATH 510.,['CONSENT OF DEPARTMENT'],
LABMP 530,"This course is designed to develop the skills of graduate students in the areas of critical review of clinical and basic science literature, experimental study design, research ethics, concepts in oral and poster presentations of scientific research, abstract writing for clinical and basic science conferences, as well as how to maximize the scientific conference experience. Active class discussion is a component of each lecture, with group and individual assignments to give practical experiences to each student immediately applicable to their graduate research program. Open to graduate students and clinical residents in the Faculty of Medicine and Dentistry. Students from other faculties may register with consent of the instructors.",,
LABMP 536,"Topics covered will include advanced flow cytometer principles, staining principles, instrument maintenance, quality control, and data analysis. Emphasis on the use/applications of flow cytometry in clinical environments. This course is designed for graduate students. Credit may only be obtained in one of MLSCI 435 or LABMP 536.",,
LABMP 540,"Reading and study of basic laboratory medicine and pathology topics relevant to the student's chosen field of study under the direction of one or more faculty members. Prerequisite: Consent of Graduate Co-ordinator, Laboratory Medicine and Pathology.","[['CONSENT OF GRADUATE CO-', 'DINAT'], ['LAB', 'AT', 'Y MEDICINE'], 'PATHOLOGY']",
LABMP 550,"Students will integrate knowledge and practical skills in the areas of environmental chemistry and toxicology. The student will learn to predict how chemicals can move and transform in the environment based on physical and chemical properties, how this affects human and environmental exposure, and consequences thereof for health. The basic principles of toxicology will be taught and students will gain appreciation for the diversity of physiological and/or biochemical mechanisms by which toxicants cause their adverse effects, and the various defenses our bodies have evolved to employ. Open to graduate students in Laboratory Medicine and Pathology. Students from other departments may register with consent of the instructor.",,
LABMP 551,"Theory and practice of laboratory research techniques and methods. Fundamentals and applications of quantitative analysis, separation, atomic spectrometry, mass spectrometry, PCR and cloning with laboratory experiments. For students who will perform laboratory research. This course may not be taken for credit if credit has been received in PHS 513. Prerequisite: Consent of the instructor.",[['CONSENT OF THE INSTRUCT']],
LABMP 552,This course will help students develop the understanding and skills to apply research results to real world needs for the management of risks posed by environmental contaminants as well as the development of regulation and policy involving such management. Open to graduate students in Laboratory Medicine and Pathology. Students from other departments may register with consent of the instructor.,,
LABMP 553,"This course will focus on hazardous toxicant identification and assessment of effects. It will examine exposure and effects of toxicants on a number of different levels including a) molecular effects, b) tissue effects, c) individual and organismal effects, and d) population effects. Case studies will be used to illustrate different applications and the utilization of specific approaches to hazard identification and assessment. The concept of Adverse Outcome Pathways (AOPs) will be introduced and students will be responsible for developing their own AOP for a specific toxicity.",,
LABMP 561,"Topics covered will include advanced mass spectrometry principles, sample preparation instrument maintenance, quality control, and data analysis. Qualitative, quantitative and clinical applications of mass spectrometry will be covered. Emphasis on the use/applications mass spectrometry in clinical environments. This course is designed for graduate students. Credit may only be obtained in one of MLSCI 461 or LABMP 561.",,
LABMP 570,"The course provides a realistic, practical discussion on the role of diagnostic and public health microbiology laboratories in North America. It is designed to enhance the student's ability to assimilate new and specialized knowledge in an evolving clinical microbiology discipline from a multisectoral OneWorld Health perspective. The course content will revolve around case presentations related to current clinical microbiology topics, including diagnostic bacteriology, virology, mycology, parasitology, molecular diagnostic techniques, infection control and prevention strategies as well as new microbiology diagnostic technologies and emerging pathogens. Open to graduate students in Laboratory Medicine and Pathology. Other students and clinical residents may register with the consent of the department. Prerequisites: Credit can be obtained in only one of MLSCI 470 or LABMP 570.","[['MLSCI 470', 'LABMP 570']]",
LABMP 581,"A laboratory course emphasizing introductory and advanced techniques in molecular biology (MLSCI 481). Isolation of RNA, construction of cDNA, amplification of DNA by the real time polymerase chain reaction, analysis of DNA by restriction digestion, transfection of eukaryotic cells for protein expression and Western blotting analysis. Prerequisites: GENET and BIOCH 200 and BIOCH 330 and consent of the Department. An oral presentation on a topic in molecular biology will be required. This course is designed for graduate students. Credit may only be obtained in one of MLSCI 481 or LABMP 581.","['GENET', 'BIOCH 200', 'BIOCH 330']",
LABMP 590,"A lecture and seminar course describing the future effects of technology on medicine in both the developed and developing world, the promise and perils of biotech, nanotech, and artificial intelligence, and changing character of research and practice of medicine and pathology in the coming decades, and the technological singularity. Each student will carry out a project supervised by a faculty member and give a presentation. This course is designed for graduate students in the Faculties of Medicine, Science, or Arts, and is open to undergraduates in those Faculties with consent of Department.",,
LABMP 593A,This course will provide an in-depth review of body organ systems and disease through lectures and seminars. This course is designed primarily for students enrolled in the Pathologists' Assistant specialization.,,
LABMP 593B,This course will provide an in-depth review of body organ systems and disease through lectures and seminars. This course is designed primarily for students enrolled in the Pathologists' Assistant specialization.,,
LABMP 594,"This course will provide an introduction to the role of the Pathologists' Assistant in the clinical laboratory and principles of techniques used in the anatomic pathology laboratory, along with interactive demonstrations. Topics will include laboratory safety, review of specimen types encountered in the laboratory, specimen handling, submission of tissue and material for ancillary studies, gross description and dissection techniques, autopsy techniques, and photography. This course is designed primarily for students enrolled in the Pathologists' Assistant specialization.",,
LABMP 595A,"This seminar course offers topics for consideration in the administration of the  clinical laboratory. Topics include finance, organizational behavior, change management, human resource management, collective agreements, safety, risk management, ethics, the Health Professions Act, equipment acquisition, contracts, accreditation, and materials management. This course is designed primarily for students enrolled in the Pathologists' Assistant specialization.",,
LABMP 595B,"This seminar course offers topics for consideration in the administration of the  clinical laboratory. Topics include finance, organizational behavior, change management, human resource management, collective agreements, safety, risk management, ethics, the Health Professions Act, equipment acquisition, contracts, accreditation, and materials management. This course is designed primarily for students enrolled in the Pathologists' Assistant specialization.",,
LABMP 596,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in laboratory medicine that include clinical biochemistry, clinical hematology and transfusion medicine, clinical microbiology, and clinical histology, as well as rotations in the pathology laboratories that include autopsy, surgical pathology, pediatric pathology and forensic pathology. The student will be expected to cover specific competencies and objectives and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 596A,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in laboratory medicine that include clinical biochemistry, clinical hematology and transfusion medicine, clinical microbiology, and clinical histology, as well as rotations in the pathology laboratories that include autopsy, surgical pathology, pediatric pathology and forensic pathology. The student will be expected to cover specific competencies and objectives and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 596B,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in laboratory medicine that include clinical biochemistry, clinical hematology and transfusion medicine, clinical microbiology, and clinical histology, as well as rotations in the pathology laboratories that include autopsy, surgical pathology, pediatric pathology and forensic pathology. The student will be expected to cover specific competencies and objectives and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 597,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in autopsy, surgical pathology, pediatric pathology and forensic pathology. The student will be expected to cover specific competencies and objectives and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 598,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in autopsy, surgical pathology, pediatric pathology and forensic pathology. The student will be expected to cover specific competencies and objectives and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 599,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in autopsy, surgical pathology, pediatric pathology and forensic pathology (and additional community-based experiences, as available). The student will be expected to cover specific competencies and objectives, and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 599A,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in autopsy, surgical pathology, pediatric pathology and forensic pathology (and additional community-based experiences, as available). The student will be expected to cover specific competencies and objectives, and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
LABMP 599B,"As a part of practicum education for the Pathologists' Assistant specialization, this course will provide rotations in autopsy, surgical pathology, pediatric pathology and forensic pathology (and additional community-based experiences, as available). The student will be expected to cover specific competencies and objectives, and keep a record of cases encountered. A designated preceptor in each rotation will guide student learning and continuously assess student progress.",,
